"doc_id","sentences","env","soc","gov","action","specificity","cti","CVR","Year","Revenue","Industry","Class","Corporate_structure","Region","Employees","env_soc_ratio"
"doc_2033",5,0.8,0.6,0.2,0.25,0,1,38568183,2020,"NULL","Manufacturing","Medium (C)","Limited Liability Companies","Region Syddanmark",62,1.125
"doc_2034",30,0.166666666666667,0.466666666666667,0.633333333333333,0.2,0,1,15694882,2021,"310363864","Manufacturing","Large (C+)","Limited Liability Companies","Region Nordjylland",254,0.795454545454545
"doc_2035",26,0,0.846153846153846,0.346153846153846,NA,NA,NA,27429815,2018,"400,750,463,758,698","Services","Large (C+)","Limited Liability Companies","Region Hovedstaden",NA,0.541666666666667
"doc_2036",24,0.375,0.458333333333333,0.333333333333333,0.222222222222222,0.111111111111111,1,36700386,2019,"1641684000","Knowledge Services","Unknown","Limited Liability Companies","Region Hovedstaden",1379,0.942857142857143
"doc_2037",5,0.8,0.6,0.4,0,0,NA,86476819,2022,"408098434","Utilities","Medium (C)","Limited Liability Companies","Region Sjælland",79,1.125
"doc_2039",7,0.714285714285714,0,0,0.6,0.2,0.666666666666667,27909868,2021,"NULL","Trade","Small (A-B)","Limited Liability Companies","Region Hovedstaden",18,1.71428571428571
"doc_204",26,0.0769230769230769,0.730769230769231,0.269230769230769,0.5,0,1,30336119,2022,"9143502000","Knowledge Services","Large (C+)","Limited Liability Companies","Region Hovedstaden",588,0.622222222222222
"doc_2041",18,0.333333333333333,0.388888888888889,0.5,0.5,0,1,27616127,2023,"686577000","Knowledge Services","Large (C+)","Limited Liability Companies","Region Sjælland",177,0.96
"doc_2042",18,0.611111111111111,0.222222222222222,0.166666666666667,0.181818181818182,0.0909090909090909,1,25380088,2021,"3419980000","Trade","Large (C+)","Limited Liability Companies","Region Hovedstaden",651,1.31818181818182
"doc_2043",8,0.25,0.5,0.625,0.5,0,1,30177908,2019,"574615000","Finance and Insurance","Large (C+)","Limited Liability Companies","Region Hovedstaden",227,0.833333333333333
"doc_2044",38,0.368421052631579,0.394736842105263,0.342105263157895,0.571428571428571,0,1,12762704,2022,"595383000","Manufacturing","Large (C+)","Limited Liability Companies","Region Syddanmark",311,0.981132075471698
"doc_2045",38,0.105263157894737,0.578947368421053,0.289473684210526,0.25,0,1,76220115,2021,"1188357000","Trade","Large (C+)","Limited Liability Companies","Region Midtjylland",360,0.7
"doc_2047",7,0.285714285714286,0.857142857142857,0.142857142857143,0,0,NA,59781812,2021,"236803000","Knowledge Services","Large (C+)","Foundations","Region Hovedstaden",179,0.692307692307692
"doc_2048",21,0,0,0,NA,NA,NA,25473159,2018,"334756000","Knowledge Services","Large (C+)","Limited Liability Companies","Region Hovedstaden",273,1
"doc_2049",27,0.407407407407407,0.296296296296296,0.0740740740740741,0.454545454545455,0.181818181818182,0.6,32266134,2020,"1473808000","Construction","Large (C+)","Limited Liability Companies","Region Hovedstaden",16,1.08571428571429
"doc_205",2,0.5,1,1,0,0,NA,26933676,2020,"2997762000","Information and Communication","Large (C+)","Limited Liability Companies","Region Midtjylland",2140,0.75
"doc_2050",6,0.333333333333333,1,1,0,0,NA,38841947,2018,"NULL","Finance and Insurance","Small (A-B)","Partnerships","Region Hovedstaden",NA,0.666666666666667
"doc_2051",14,0.428571428571429,0.571428571428571,0.357142857142857,0.833333333333333,0,1,67507517,2021,"347115455","Trade","Large (C+)","Limited Liability Companies","Region Sjælland",111,0.909090909090909
"doc_2052",11,0.363636363636364,0.0909090909090909,0.0909090909090909,0.75,0,1,31605741,2019,"NULL","Trade","Small (A-B)","Limited Liability Companies","Region Syddanmark",NA,1.25
"doc_2053",34,0.235294117647059,0.558823529411765,0.205882352941176,1,0,1,39169649,2023,"1962429000","Finance and Insurance","Large (C+)","Limited Liability Companies","Region Nordjylland",554,0.792452830188679
"doc_2054",13,0.307692307692308,0.692307692307692,0.615384615384615,0.25,0,1,62545313,2019,"609233764","Trade","Large (C+)","Limited Liability Companies","Region Sjælland",285,0.772727272727273
"doc_2055",4,0,0,0,NA,NA,NA,70190028,2021,"NULL","Trade","Small (A-B)","Limited Liability Companies","Region Sjælland",56,1
"doc_2056",15,0.2,0.4,0.4,0,0,NA,38640569,2018,"360136000","Knowledge Services","Large (C+)","Limited Liability Companies","Region Midtjylland",77,0.857142857142857
"doc_2057",24,0.416666666666667,0.541666666666667,0.333333333333333,0.6,0,1,69980015,2022,"1682311523","Manufacturing","Large (C+)","Limited Liability Companies","Region Midtjylland",274,0.918918918918919
"doc_2058",35,0.228571428571429,0.485714285714286,0.342857142857143,0.25,0.25,0,12560796,2023,"234,080,000,844,443","Knowledge Services","Large (C+)","Limited Liability Companies","Region Syddanmark",572,0.826923076923077
"doc_2059",1,0,1,1,NA,NA,NA,20608390,2019,"421380860","Knowledge Services","Large (C+)","Limited Liability Companies","Region Nordjylland",84,0.5
"doc_206",8,0.5,0.25,0.25,0.25,0,1,17516345,2021,"786062000","Information and Communication","Very Large (D)","Limited Liability Companies","NULL",369,1.2
"doc_2060",21,0.142857142857143,0.571428571428571,0.19047619047619,0.666666666666667,0,1,12863233,2018,"974263106","Knowledge Services","Large (C+)","Limited Liability Companies","Region Nordjylland",463,0.727272727272727
"doc_2061",4,0.5,0.75,0.75,0,0,NA,41014423,2020,"318858131","Finance and Insurance","Large (C+)","Limited Liability Companies","Region Midtjylland",64,0.857142857142857
"doc_2062",8,0.25,0.625,0.625,0.5,0,1,20342978,2018,"588297000","Real Estate","Large (C+)","Limited Liability Companies","Region Nordjylland",119,0.769230769230769
"doc_2063",32,0.46875,0.34375,0.3125,0.533333333333333,0.133333333333333,0.75,40797564,2022,"587170284","Knowledge Services","Large (C+)","Limited Liability Companies","Region Hovedstaden",639,1.09302325581395
"doc_2064",2,0.5,1,1,0,0,NA,12483589,2023,"427786000","Manufacturing","Large (C+)","Limited Liability Companies","Region Midtjylland",187,0.75
"doc_2065",25,0.08,0.52,0.16,0,0,NA,25256875,2020,"613523090","Trade","Large (C+)","Limited Liability Companies","Region Midtjylland",27,0.710526315789474
"doc_2066",4,0,0.25,0.75,NA,NA,NA,39829819,2021,"NULL","Finance and Insurance","Large (C+)","Limited Liability Companies","Region Hovedstaden",NA,0.8
"doc_2067",2,1,0.5,0.5,1,0,1,43119613,2019,"NULL","Utilities","Medium (C)","Limited Liability Companies","Region Hovedstaden",50,1.33333333333333
"doc_2068",3,0.333333333333333,0.333333333333333,0.333333333333333,0,0,NA,51359828,2018,"671781000","Real Estate","Large (C+)","Limited Liability Companies","Region Syddanmark",163,1
